id,A,B,C,D,E,F,G,H,I,J,K
15448,90,60,60,70,70,60,70,60,60,60,60
15449,70,50,60,60,60,60,80,60,60,60,60
15450,70,50,60,60,60,60,80,60,60,60,60
15451,50,50,60,50,60,40,30,50,50,50,60
15452,60,50,50,50,60,40,30,50,50,50,60
15453,70,50,50,50,50,40,30,50,50,50,60
15454,70,50,50,50,60,40,30,60,50,50,60
15455,90,50,50,50,50,40,30,50,60,60,60
15456,90,50,50,50,40,40,30,50,60,60,50
15457,80,50,50,50,50,40,30,60,60,60,50
15458,80,50,50,50,50,40,30,50,60,60,50
15459,70,50,50,50,60,40,30,50,60,60,60
15460,90,50,50,50,50,40,30,50,50,50,50
15461,90,50,50,50,50,40,30,60,50,50,60
15462,90,50,50,50,50,40,30,60,50,50,50
15463,80,50,50,50,50,40,40,50,50,50,50
15464,80,50,50,50,50,40,40,40,50,50,50
15465,80,50,50,50,50,40,40,40,50,50,50
15466,70,50,50,50,50,40,40,50,50,50,50
15467,70,50,50,50,50,40,40,50,50,50,50
15468,60,50,60,50,60,40,40,50,50,50,50
15469,60,50,50,50,50,40,40,40,50,50,50
15470,60,50,50,50,50,40,40,50,50,50,50
15471,60,50,50,50,50,40,40,50,50,50,50
15472,60,50,50,50,50,40,40,50,50,50,50
15473,60,50,50,40,50,40,40,50,50,50,50
15474,50,50,50,40,50,40,40,50,50,50,50
15475,50,50,50,50,50,40,40,50,50,50,50
15476,50,50,50,40,50,40,40,50,50,50,50
15477,50,50,50,40,50,40,40,50,50,50,50
15478,50,50,50,40,50,40,40,50,50,50,50
15479,60,40,50,40,50,40,40,50,60,60,50
15480,60,40,50,40,50,40,40,40,60,60,50
15481,60,50,50,50,50,40,50,50,60,60,50
15482,60,40,50,40,50,40,50,40,60,60,50
15483,50,40,50,50,50,40,50,50,60,60,50
15484,70,40,50,50,50,40,50,40,60,60,50
15485,80,40,50,50,50,40,50,50,60,60,50
15486,70,50,50,50,50,40,50,50,50,50,50
15487,90,40,50,50,50,40,50,50,50,50,50
15488,90,50,50,50,50,40,50,50,50,50,50
15489,90,50,50,50,50,40,50,50,50,50,50
15490,90,50,50,50,50,40,50,40,50,50,50
15491,90,50,50,50,50,40,50,40,50,50,50
15492,90,50,50,50,50,40,50,50,50,50,50
15493,80,50,50,50,50,40,60,80,50,50,60
15494,80,50,50,50,50,40,60,50,50,50,60
15495,80,50,50,50,50,40,60,50,60,60,60
15496,80,50,50,50,50,40,60,50,60,60,50
15497,70,50,50,50,50,40,60,50,60,60,50
15498,60,50,50,50,60,40,60,50,50,50,50
15499,60,50,60,50,70,50,60,70,50,50,70
15500,80,60,60,50,70,60,60,70,50,50,60
15501,70,60,60,60,70,60,60,80,50,50,70
15502,70,60,60,60,70,60,60,90,50,50,70
15503,60,60,60,60,70,70,60,50,50,50,70
15504,60,60,60,60,70,70,60,80,50,50,70
15505,60,60,60,60,70,70,70,80,50,50,70
15506,70,70,60,60,80,70,70,70,50,50,70
15507,110,80,80,80,90,70,70,70,50,50,70
15508,120,80,80,70,90,70,70,70,50,50,70
15509,110,80,70,70,90,60,70,70,50,50,70
15510,100,80,70,70,90,60,70,70,50,50,70
15511,100,80,80,70,90,70,80,70,50,50,70
15512,90,90,80,80,100,70,80,60,60,60,60
15513,100,90,80,80,100,70,80,70,60,60,60
15514,100,90,80,80,100,70,80,60,50,50,60
15515,100,90,90,80,100,70,80,60,50,50,60
15516,100,90,90,80,100,70,80,60,60,60,60
15517,100,90,90,80,100,70,80,70,60,60,60
15518,100,90,90,80,100,70,90,100,60,60,60
15519,100,80,80,80,100,60,90,90,60,60,60
15520,70,70,70,60,70,50,80,60,60,60,60
15521,60,70,60,60,70,60,80,50,60,60,60
15522,70,70,60,70,70,70,80,50,50,50,60
15523,70,70,70,70,70,80,80,60,50,50,60
15524,70,70,70,70,70,70,80,50,60,60,100
15525,70,80,70,70,80,80,90,50,60,60,100
15526,100,110,110,80,110,80,90,100,150,230,60
15527,180,120,120,90,130,70,90,100,70,70,60
15528,180,120,130,100,130,70,90,70,70,70,60
15529,170,110,120,90,120,70,90,100,70,70,60
15530,160,100,110,90,110,70,90,100,70,70,60
15531,160,90,90,80,90,70,90,100,70,70,60
15532,120,90,90,80,100,80,90,70,70,70,60
15533,120,90,90,80,100,80,90,90,70,70,60
15534,130,90,90,80,100,80,90,100,70,70,60
15535,100,90,90,80,90,80,90,100,50,50,60
15536,120,90,90,80,90,80,90,100,70,70,60
15537,140,100,90,80,80,80,90,100,60,60,60
15538,100,90,80,70,90,70,90,50,60,60,60
15539,90,70,70,70,60,60,80,70,60,60,60
15540,80,70,70,70,70,60,80,70,60,60,60
15541,80,70,70,70,70,70,80,50,60,60,60
15542,80,70,70,70,70,70,80,100,60,60,60
15543,80,70,70,70,70,60,90,100,60,60,60
15544,80,70,70,70,70,70,90,100,50,50,60
15545,80,80,70,80,70,70,90,70,60,60,70
15546,100,80,80,80,80,70,90,70,60,60,70
15547,150,80,80,90,80,70,90,100,80,80,70
15548,130,80,80,80,80,70,90,60,70,70,100
15549,110,70,80,80,80,70,90,70,70,70,100
15550,100,80,70,80,80,70,90,100,60,60,100
15551,80,80,70,80,80,70,90,90,90,90,100
15552,80,80,70,80,80,70,90,50,90,90,100
15553,80,80,80,80,80,80,80,60,90,90,100
15554,90,80,90,80,80,80,80,70,90,90,100
